email_length,num_links,num_special_chars,sender_reputation,has_attachment,is_spam
674,3,6,44,1,1
579,2,19,37,0,1
697,0,16,39,0,1
828,2,12,39,1,1
564,3,18,40,1,1
564,3,13,49,0,1
836,2,13,61,0,1
715,3,10,28,0,1
529,4,9,13,0,1
681,2,14,43,0,1
530,3,13,45,0,1
530,2,18,53,0,1
636,1,11,65,0,1
313,1,10,52,0,0
341,0,16,64,1,0
515,1,15,50,1,1
448,0,10,21,0,1
647,0,14,43,1,1
463,3,21,46,0,1
388,2,13,48,0,1
819,4,16,62,0,1
566,1,8,56,0,1
610,3,16,54,0,1
386,2,9,48,0,1
518,2,13,51,1,1
616,2,11,43,0,1
427,4,10,45,0,1
656,2,12,21,0,1
509,4,15,66,0,1
556,2,12,47,1,1
509,4,15,59,1,1
877,2,15,28,1,1
597,3,9,38,0,1
441,3,18,38,1,1
723,3,15,75,1,1
416,5,14,54,0,1
631,1,10,58,0,1
306,4,10,46,0,1
400,2,16,42,0,1
629,2,16,65,0,1
710,4,17,42,1,1
625,0,16,78,0,0
582,1,19,87,1,1
554,2,14,20,0,1
378,1,19,59,0,0
492,2,13,55,0,1
530,4,17,34,0,1
758,4,19,30,1,1
651,1,14,53,0,1
335,2,13,30,0,1
648,2,23,52,1,1
542,2,9,60,0,1
498,2,18,79,0,1
691,1,19,53,1,1
754,3,20,52,1,1
739,0,16,59,0,0
474,5,8,41,1,1
553,2,13,51,1,1
649,2,23,61,0,1
746,1,13,45,1,1
528,4,15,60,0,1
572,3,8,56,0,1
434,2,19,41,0,1
420,1,16,63,0,0
721,1,7,51,0,1
803,2,12,54,0,1
589,1,23,56,1,1
750,1,12,61,0,1
654,1,16,44,0,1
503,3,15,40,0,1
654,4,18,50,1,1
830,1,10,41,0,1
594,3,6,19,0,1
834,1,17,25,1,1
207,3,15,60,0,1
723,0,16,47,0,1
613,5,15,43,0,1
555,0,15,52,1,1
613,4,11,62,0,1
301,1,12,55,0,0
567,4,17,71,0,1
653,5,10,20,0,1
821,2,13,58,0,1
522,2,11,58,0,1
478,1,13,48,1,1
524,1,11,66,0,0
737,4,20,52,0,1
649,3,13,42,0,1
520,1,12,64,1,1
676,3,12,25,1,1
614,4,13,60,1,1
745,1,22,55,0,1
494,1,22,57,0,1
550,2,18,55,0,1
541,2,22,83,1,1
380,1,10,46,0,1
644,1,10,56,0,1
639,1,14,85,1,1
600,4,9,36,0,1
564,2,14,54,0,1
387,1,18,54,0,0
536,3,20,54,0,1
548,0,9,52,0,0
479,1,23,51,0,1
575,1,14,34,0,1
660,4,27,30,0,1
882,2,12,38,0,1
626,0,16,56,0,0
638,0,13,42,0,1
588,1,13,43,0,1
312,1,18,22,0,1
596,2,15,34,0,1
609,2,11,56,1,1
969,4,19,47,0,1
571,0,18,74,0,0
645,0,8,55,0,0
594,2,25,80,1,1
424,2,17,51,0,1
771,1,15,32,0,1
712,1,12,54,0,1
718,1,13,30,0,1
463,5,17,43,0,1
810,7,16,51,1,1
389,3,15,53,0,1
688,2,14,36,1,1
928,1,14,56,1,1
451,3,14,44,1,1
515,1,17,61,1,1
614,2,20,22,0,1
524,4,17,42,0,1
367,2,14,7,0,1
610,1,11,63,0,1
440,1,10,79,1,0
671,2,20,29,1,1
462,3,10,24,0,1
832,0,17,48,0,1
482,3,11,39,1,1
551,1,17,44,1,1
722,0,13,36,0,1
415,2,11,47,1,1
634,2,16,52,1,1
796,0,17,52,0,1
358,3,12,64,1,1
627,0,5,53,1,1
638,3,18,51,0,1
717,2,16,66,1,1
414,0,16,43,0,0
401,2,12,50,0,1
678,2,12,30,0,1
644,4,13,57,0,1
637,3,15,27,0,1
651,1,16,58,0,1
497,1,13,81,0,0
634,3,11,29,0,1
643,2,12,68,0,1
492,3,10,53,1,1
879,0,18,49,1,1
671,3,12,30,1,1
421,2,9,61,0,1
698,5,12,57,0,1
453,1,17,30,0,1
718,2,12,47,1,1
773,3,11,41,1,1
476,3,19,54,1,1
744,7,13,56,0,1
661,0,11,30,0,1
723,4,14,39,1,1
884,3,20,34,0,1
563,4,17,36,1,1
486,2,16,56,0,1
466,1,9,51,1,1
477,2,16,59,0,1
588,1,19,48,0,1
651,0,6,69,1,0
641,2,18,52,0,1
724,2,14,48,0,1
601,2,12,50,0,1
818,5,20,38,0,1
560,4,12,39,0,1
1008,2,15,57,0,1
693,0,13,52,0,1
471,4,13,77,0,1
439,2,16,73,0,1
672,3,17,33,1,1
566,1,17,47,1,1
707,4,19,65,0,1
670,4,13,64,0,1
589,3,17,60,1,1
472,2,11,56,1,1
372,0,12,43,1,1
533,4,17,61,1,1
728,2,17,56,0,1
632,2,14,55,0,1
413,2,12,72,0,1
625,4,15,42,0,1
657,2,11,65,0,1
467,3,15,7,1,1
623,2,11,56,0,1
608,2,18,37,0,1
428,5,14,46,1,1
653,1,19,46,0,1
684,3,17,74,0,1
762,1,10,44,0,1
758,2,10,55,0,1
393,1,21,61,0,0
459,2,14,36,0,1
677,3,9,49,0,1
677,6,20,57,1,1
677,0,12,49,0,1
1177,2,18,72,0,1
685,1,17,45,1,1
770,6,18,53,1,1
743,2,18,61,0,1
697,2,14,49,0,1
552,1,14,54,0,1
713,4,16,50,0,1
484,0,15,47,0,0
564,3,12,31,0,1
527,2,16,40,0,1
612,3,12,39,0,1
947,2,14,54,1,1
319,4,9,81,1,1
702,1,21,64,0,1
358,0,14,55,0,0
529,3,13,73,0,1
763,2,13,36,0,1
609,0,20,40,0,1
438,1,16,42,0,1
492,1,16,54,0,1
701,3,10,36,0,1
490,2,7,70,1,1
632,2,12,38,1,1
606,1,16,27,0,1
502,1,7,57,0,1
921,2,19,43,0,1
695,1,12,52,1,1
296,0,14,72,0,0
627,4,15,68,0,1
500,4,12,68,1,1
727,4,13,78,0,1
481,2,8,47,0,1
582,2,16,45,0,1
675,1,15,58,1,1
729,4,14,65,0,1
419,2,10,47,0,1
549,4,14,53,1,1
528,2,23,28,0,1
502,1,16,33,1,1
864,6,14,37,0,1
660,3,14,57,0,1
410,4,14,31,0,1
737,0,21,63,0,0
918,5,15,32,0,1
754,2,10,59,1,1
372,1,15,50,0,1
527,5,14,68,1,1
790,2,9,62,1,1
493,0,14,36,1,1
666,2,13,43,1,1
716,0,21,40,1,1
460,3,15,52,0,1
591,1,7,68,0,0
113,0,17,23,0,0
446,2,12,68,1,1
562,0,8,54,0,0
412,0,18,44,0,0
844,2,15,42,1,1
385,0,13,62,0,0
533,4,16,54,0,1
619,2,18,85,1,1
816,3,10,37,0,1
384,4,18,68,0,1
774,4,17,50,0,1
601,4,20,27,1,1
452,1,20,53,0,1
669,2,11,41,1,1
629,0,10,63,0,0
509,1,9,72,0,0
610,3,13,47,0,1
542,0,10,66,0,0
617,1,11,55,0,1
699,3,17,68,0,1
837,2,9,21,0,1
414,1,16,63,0,0
919,1,6,82,0,1
307,1,9,81,1,0
577,0,12,61,0,0
688,1,14,53,0,1
642,2,20,73,1,1
506,0,18,55,0,0
568,2,13,40,0,1
526,2,14,44,0,1
511,1,16,63,0,1
727,2,9,67,0,1
653,4,10,47,0,1
496,0,10,55,0,0
734,3,16,43,0,1
646,2,13,74,1,1
721,2,17,9,0,1
694,4,15,52,0,1
475,3,18,34,0,1
515,2,13,71,0,1
712,5,18,43,0,1
691,1,16,31,1,1
596,0,17,53,1,1
617,1,15,75,0,0
791,3,12,18,0,1
511,0,20,39,0,1
682,0,24,61,0,0
569,1,18,72,0,0
567,1,19,46,1,1
764,1,21,54,0,1
723,0,15,67,0,0
722,1,20,28,0,1
795,1,18,51,0,1
603,3,15,53,1,1
702,1,14,29,0,1
553,3,17,62,1,1
648,1,13,63,1,1
580,0,12,67,0,0
614,0,20,72,0,0
689,3,16,31,1,1
477,1,12,87,0,0
913,3,17,25,0,1
449,2,14,64,1,1
417,3,14,45,0,1
773,2,21,64,0,1
718,1,13,45,0,1
693,1,14,39,0,1
694,4,21,48,0,1
598,2,18,46,0,1
465,6,16,46,0,1
611,3,9,70,0,1
